withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,3.883870699995896,['c'],1,left,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
1,1,1,2.7830635999853257,['n'],0,left,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
2,1,1,1.0509768000047188,['n'],1,right,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
3,1,1,0.7508717000018805,['n'],1,right,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
4,1,1,0.5008465999853797,['c'],1,left,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
5,1,1,0.4347643000073731,['n'],1,right,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
6,1,1,0.5161821999936365,['c'],1,left,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
7,1,1,0.46776759999920614,['n'],1,right,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
8,1,1,0.5505201000196394,['n'],1,right,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
9,1,1,0.48292519999085926,['n'],0,left,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
10,1,1,0.583804499998223,['c'],1,left,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
11,1,1,0.5000185999961104,['n'],1,right,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
12,1,1,0.599295499996515,['c'],1,left,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
13,1,1,0.6157804999966174,['n'],1,right,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
14,1,1,0.5657448999991175,['c'],1,left,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
15,1,1,0.6181740000029095,['c'],1,left,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
16,1,1,0.5986447999894153,['c'],1,left,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
17,1,1,0.6006972000177484,['n'],1,right,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
18,1,1,2.082281700015301,['c'],1,left,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
19,1,1,0.8500743999902625,['c'],1,left,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
20,1,1,0.6007397999928799,['n'],1,right,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
21,1,1,0.8153700999973807,['n'],1,right,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
22,1,1,0.6491899999964517,['n'],1,right,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
23,1,1,0.7655022999970242,['n'],1,right,none,-99,-99,0.5,-99,0,none,6,18,Woman,Left,
0,2,1,1.4330582999973558,['n'],0,left,none,-99,-99,0.1,-99,0,none,6,18,Woman,Left,
1,2,1,1.4502530000172555,['n'],0,left,none,-99,-99,0.1,-99,0,none,6,18,Woman,Left,
2,2,1,1.7510408999805804,['n'],0,left,none,-99,-99,0.1,-99,0,none,6,18,Woman,Left,
3,2,1,1.2498953999893274,['n'],1,right,none,-99,-99,0.1,-99,0,none,6,18,Woman,Left,
4,2,1,2.216619599988917,['n'],1,right,none,-99,-99,0.4,-99,0,none,6,18,Woman,Left,
5,2,1,0.9656363000103738,['c'],0,right,none,-99,-99,0.2,-99,0,none,6,18,Woman,Left,
6,2,1,0.867866500018863,['n'],1,right,none,-99,-99,0.4,-99,0,none,6,18,Woman,Left,
7,2,1,0.8171660999942105,['c'],1,left,none,-99,-99,0.2,-99,0,none,6,18,Woman,Left,
8,2,1,1.0509069000254385,['n'],1,right,none,-99,-99,0.4,-99,0,none,6,18,Woman,Left,
9,2,1,0.8179453999910038,['c'],1,left,none,-99,-99,0.4,-99,0,none,6,18,Woman,Left,
10,2,1,0.7333698999718763,['n'],1,right,none,-99,-99,0.2,-99,0,none,6,18,Woman,Left,
11,2,1,1.1009251000068616,['c'],1,left,none,-99,-99,0.2,-99,0,none,6,18,Woman,Left,
12,2,1,0.949454199988395,['c'],1,left,none,-99,-99,0.2,-99,0,none,6,18,Woman,Left,
13,2,1,0.7007452999823727,['n'],1,right,none,-99,-99,0.2,-99,0,none,6,18,Woman,Left,
14,2,1,0.9000268999952823,['c'],1,left,none,-99,-99,0.4,-99,0,none,6,18,Woman,Left,
15,2,1,1.0168542999890633,['c'],1,left,none,-99,-99,0.1,-99,0,none,6,18,Woman,Left,
16,2,1,5.015932400012389,x,-99,left,none,-99,-99,0.1,-99,1,none,6,18,Woman,Left,
17,2,1,1.3341189000057057,['n'],1,right,none,-99,-99,0.4,-99,0,none,6,18,Woman,Left,
18,2,1,0.6846795000019483,['n'],1,right,none,-99,-99,0.4,-99,0,none,6,18,Woman,Left,
19,2,1,1.6512450999871362,['n'],1,right,none,-99,-99,0.2,-99,0,none,6,18,Woman,Left,
