withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,4.983433299999888,['n'],0,left,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
1,1,1,0.9489723000001504,['n'],1,right,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
2,1,1,0.901824999999917,['c'],1,left,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
3,1,1,3.066641299999901,['c'],1,left,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
4,1,1,1.0169158999997308,['n'],1,right,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
5,1,1,0.7832776000000194,['c'],1,left,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
6,1,1,1.2681937000002108,['c'],1,left,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
7,1,1,1.5345984000000499,['n'],1,right,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
8,1,1,1.000678799999605,['c'],1,left,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
9,1,1,1.1336396000001514,['n'],1,right,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
10,1,1,1.100545300000249,['c'],1,left,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
11,1,1,0.8181005000001278,['n'],0,left,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
12,1,1,1.1503923000000214,['c'],1,left,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
13,1,1,1.6502016000004005,['n'],0,left,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
14,1,1,0.9667342000002463,['c'],1,left,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
15,1,1,0.6666608999998971,['n'],1,right,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
16,1,1,0.6503374000003532,['n'],1,right,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
17,1,1,0.799568299999919,['c'],1,left,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
18,1,1,0.7994963000001007,['n'],1,right,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
19,1,1,0.6835756000000401,['n'],1,right,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
20,1,1,0.616320000000087,['n'],1,right,none,-99,-99,0.5,-99,0,none,7,17,Woman,Right,
