withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,1.583099299999958,['c'],1,left,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
1,1,1,0.5835591999998542,['c'],0,right,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
2,1,1,0.6679644000000735,['c'],1,left,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
3,1,1,0.48407600000018647,['n'],1,right,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
4,1,1,0.7501389999997627,['n'],1,right,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
5,1,1,0.8689993000002687,['n'],1,right,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
6,1,1,0.5004650000000765,['c'],1,left,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
7,1,1,0.48329199999989214,['n'],1,right,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
8,1,1,0.6341717999998764,['c'],1,left,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
9,1,1,0.7002738000001045,['c'],1,left,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
10,1,1,0.5831223000000136,['n'],1,right,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
11,1,1,0.5003566999998839,['c'],1,left,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
12,1,1,0.6675006999998914,['n'],0,left,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
13,1,1,0.5013859000000593,['c'],1,left,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
14,1,1,0.6841438999999809,['n'],1,right,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
15,1,1,0.45110010000007605,['c'],1,left,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
16,1,1,0.4337174000002051,['n'],1,right,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
17,1,1,0.6511456000002909,['n'],1,right,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
18,1,1,0.46698220000007495,['c'],1,left,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
19,1,1,0.33396859999993467,['n'],1,right,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
20,1,1,0.5341343999998571,['c'],1,left,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
21,1,1,0.4998823999999331,['c'],1,left,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
22,1,1,0.5171257000001788,['n'],1,right,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
23,1,1,0.7838685000001533,['n'],1,right,none,-99,-99,0.5,-99,0,none,10,18,Woman,Left,
0,2,1,0.9158717000000252,['n'],1,right,none,-99,-99,0.1,-99,0,none,10,18,Woman,Left,
1,2,1,0.666034800000034,['n'],1,right,none,-99,-99,0.4,-99,0,none,10,18,Woman,Left,
2,2,1,0.5168613000000732,['c'],1,left,none,-99,-99,0.4,-99,0,none,10,18,Woman,Left,
3,2,1,0.4671658000002026,['n'],0,left,none,-99,-99,0.1,-99,0,none,10,18,Woman,Left,
4,2,1,0.49981260000004113,['c'],0,right,none,-99,-99,0.2,-99,0,none,10,18,Woman,Left,
5,2,1,0.6179514999998901,['n'],1,right,none,-99,-99,0.2,-99,0,none,10,18,Woman,Left,
6,2,1,0.9663161999997101,['n'],0,left,none,-99,-99,0.1,-99,0,none,10,18,Woman,Left,
7,2,1,0.7005683000002136,['n'],0,left,none,-99,-99,0.1,-99,0,none,10,18,Woman,Left,
8,2,1,0.6506154999997307,['c'],1,left,none,-99,-99,0.4,-99,0,none,10,18,Woman,Left,
9,2,1,0.6662311999998565,['n'],0,left,none,-99,-99,0.2,-99,0,none,10,18,Woman,Left,
10,2,1,0.5829398000000765,['n'],1,right,none,-99,-99,0.4,-99,0,none,10,18,Woman,Left,
