"withinblocktrial","block","block_repetition","rt","resp","cor","cresp","conf_press","cj","rtconf","coherence","slow_trial","manipulation","sub","age","gender","handedness","X","batch","check1","check2","check3","check4"
31,4,1,0.733398299999863,"['c']",1,"left","['0']",6,0.500532799999974,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
32,4,1,0.866614100000106,"['c']",1,"left","['0']",6,0.217015700000047,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
33,4,1,0.915740099999994,"['n']",1,"right","['0']",6,0.283742699999948,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
34,4,1,0.549113199999965,"['c']",1,"left","['0']",6,0.250692200000003,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
35,4,1,0.866625499999827,"['n']",1,"right","['0']",6,0.283870100000058,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
36,4,1,0.666598199999953,"['c']",1,"left","['0']",6,0.200467500000059,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
37,4,1,0.633380999999872,"['c']",1,"left","['0']",6,0.250444100000095,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
38,4,1,0.583935399999973,"['c']",1,"left","['0']",6,0.200302700000066,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
39,4,1,0.61726920000001,"['c']",1,"left","['0']",6,0.200975499999913,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
40,4,1,0.833388000000014,"['n']",1,"right","['0']",6,0.233934999999974,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
41,4,1,1.28406459999997,"['n']",1,"right","['0']",6,0.216885999999931,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
42,4,1,1.36635000000001,"['c']",0,"right","['2']",2,0.950579999999945,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
43,4,1,1.21599309999988,"['n']",1,"right","['2']",2,0.583971900000051,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
44,4,1,1.63438960000008,"['n']",1,"right","['3']",3,0.95040670000003,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
45,4,1,0.783378699999957,"['n']",1,"right","['0']",6,0.317245800000137,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
46,4,1,0.58290020000004,"['c']",1,"left","['0']",6,0.233617100000174,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
47,4,1,0.767570599999999,"['c']",1,"left","['0']",6,0.216999900000019,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
48,4,1,0.534176200000047,"['c']",1,"left","['0']",6,0.217179299999998,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
