withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,1.7512122999987696,['n'],0,left,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
1,1,1,0.8831384000004618,['n'],1,right,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
2,1,1,2.2178070999998454,['c'],0,right,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
3,1,1,0.7012742000006256,['n'],1,right,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
4,1,1,0.6494811000011396,['c'],1,left,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
5,1,1,0.5508282000009785,['c'],1,left,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
6,1,1,0.6326360000002751,['n'],1,right,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
7,1,1,0.5178485000014916,['n'],1,right,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
8,1,1,0.5331945999987511,['c'],1,left,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
9,1,1,0.5830108000009204,['n'],1,right,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
10,1,1,0.5170151999991504,['n'],1,right,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
11,1,1,0.5179683000005753,['c'],1,left,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
12,1,1,0.5348957000005612,['c'],1,left,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
13,1,1,0.5171136000008119,['n'],1,right,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
14,1,1,0.5679309999995894,['c'],1,left,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
15,1,1,0.4837364000013622,['n'],1,right,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
16,1,1,0.4519335000004503,['n'],1,right,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
17,1,1,0.40117190000091796,['c'],1,left,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
18,1,1,0.43289740000000165,['c'],1,left,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
19,1,1,0.4676498000007996,['c'],1,left,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
20,1,1,0.4345107999997708,['c'],1,left,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
21,1,1,0.3997760999991442,['c'],1,left,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
22,1,1,0.5487544000006892,['n'],1,right,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
23,1,1,0.4525552000013704,['n'],1,right,none,-99,-99,0.5,-99,0,none,20,17,Woman,Right,
0,2,1,2.1343250000008993,['c'],1,left,none,-99,-99,0.2,-99,0,none,20,17,Woman,Right,
1,2,1,0.5014097000002948,['c'],0,right,none,-99,-99,0.2,-99,0,none,20,17,Woman,Right,
2,2,1,0.49998059999961697,['c'],1,left,none,-99,-99,0.2,-99,0,none,20,17,Woman,Right,
3,2,1,0.5494732000006479,['c'],0,right,none,-99,-99,0.4,-99,0,none,20,17,Woman,Right,
4,2,1,0.5177267999988544,['c'],1,left,none,-99,-99,0.2,-99,0,none,20,17,Woman,Right,
5,2,1,0.5675590999999258,['c'],1,left,none,-99,-99,0.4,-99,0,none,20,17,Woman,Right,
6,2,1,0.700311700000384,['c'],0,right,none,-99,-99,0.4,-99,0,none,20,17,Woman,Right,
7,2,1,0.5848998000001302,['c'],1,left,none,-99,-99,0.4,-99,0,none,20,17,Woman,Right,
8,2,1,0.49908700000014505,['c'],0,right,none,-99,-99,0.1,-99,0,none,20,17,Woman,Right,
9,2,1,0.5679518999986612,['c'],0,right,none,-99,-99,0.1,-99,0,none,20,17,Woman,Right,
10,2,1,0.8165654000003997,['c'],1,left,none,-99,-99,0.4,-99,0,none,20,17,Woman,Right,
11,2,1,0.4674146999986988,['c'],1,left,none,-99,-99,0.1,-99,0,none,20,17,Woman,Right,
12,2,1,0.3845108999994409,['c'],0,right,none,-99,-99,0.2,-99,0,none,20,17,Woman,Right,
13,2,1,0.5344411999994918,['n'],1,right,none,-99,-99,0.4,-99,0,none,20,17,Woman,Right,
14,2,1,0.5013550000003306,['c'],1,left,none,-99,-99,0.1,-99,0,none,20,17,Woman,Right,
15,2,1,0.5173797999996168,['c'],1,left,none,-99,-99,0.1,-99,0,none,20,17,Woman,Right,
16,2,1,0.5172490999993897,['c'],0,right,none,-99,-99,0.2,-99,0,none,20,17,Woman,Right,
17,2,1,0.4675767000007909,['c'],1,left,none,-99,-99,0.1,-99,0,none,20,17,Woman,Right,
18,2,1,0.9164213000003656,['n'],0,left,none,-99,-99,0.1,-99,0,none,20,17,Woman,Right,
