withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,3.033893599989824,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
1,1,1,0.8825133999926038,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
2,1,1,1.299003599997377,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
3,1,1,0.7181630000122823,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
4,1,1,1.483302900014678,['c'],0,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
5,1,1,1.6165432000125293,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
6,1,1,0.766266499995254,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
7,1,1,1.9655523999826983,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
8,1,1,0.7839485000004061,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
9,1,1,0.5853728999791201,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
10,1,1,0.616941800020868,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
11,1,1,0.6499956999905407,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
12,1,1,0.5174586999928579,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
13,1,1,0.5337673999893013,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
14,1,1,0.5664053999935277,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
15,1,1,0.4997776999953203,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
16,1,1,0.48282509998534806,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
17,1,1,0.398273099999642,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
18,1,1,0.399793899996439,['n'],0,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
19,1,1,1.0993714000214823,['n'],0,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
20,1,1,0.5826369000133127,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
21,1,1,0.5685643999895547,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
22,1,1,0.7333158999972511,['c'],0,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
23,1,1,0.6665628999762703,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
0,1,2,1.8841362000093795,['n'],0,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
1,1,2,0.5677477999997791,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
2,1,2,0.4669212000153493,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
3,1,2,0.799711900006514,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
4,1,2,0.36781369999516755,['c'],0,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
5,1,2,0.5667574999970384,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
6,1,2,0.5012607999960892,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
7,1,2,0.683780299994396,['c'],0,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
8,1,2,0.9163736999907997,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
9,1,2,0.49955550002050586,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
10,1,2,0.5172277999809012,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
11,1,2,0.7669943000073545,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
12,1,2,0.6999020999937784,['c'],0,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
13,1,2,1.5502779000089504,['n'],0,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
14,1,2,0.5330495999951381,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
15,1,2,0.8004579999833368,['n'],1,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
16,1,2,0.7174252000113484,['c'],0,right,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
17,1,2,0.7008035999897402,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
18,1,2,0.6835147000092547,['c'],1,left,none,-99,-99,0.5,-99,0,none,21,18,Woman,Right,
