withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,4.534244700000272,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
1,1,1,0.7171481999994285,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
2,1,1,0.7006349000002956,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
3,1,1,0.6676749000016571,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
4,1,1,0.8505421999998362,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
5,1,1,0.5671712999992451,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
6,1,1,0.5843244999996386,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
7,1,1,0.867755399998714,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
8,1,1,0.6339143000004697,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
9,1,1,0.9179287999995722,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
10,1,1,0.6179945999992924,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
11,1,1,0.8678866999998718,['c'],0,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
12,1,1,1.0163683999999193,['c'],0,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
13,1,1,0.9826653000000078,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
14,1,1,0.9002181999985623,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
15,1,1,0.9347839000001841,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
16,1,1,1.0679338999998436,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
17,1,1,0.8673108000002685,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
18,1,1,0.6505310000011377,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
19,1,1,0.6998503000013443,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
20,1,1,0.9513279999991937,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
21,1,1,1.051552900000388,['n'],0,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
22,1,1,0.6164656000000832,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
23,1,1,0.7338982999990549,['c'],0,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
0,1,2,0.766838599998664,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
1,1,2,0.5326482000000397,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
2,1,2,0.48209829999905196,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
3,1,2,0.43390309999995225,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
4,1,2,0.500864300000103,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
5,1,2,0.5346403999992617,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
6,1,2,0.5337643999991997,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
7,1,2,0.6509483999998338,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
8,1,2,0.6338749999995343,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
9,1,2,0.5833973999997397,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
10,1,2,0.5670477000003302,['c'],1,left,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
11,1,2,0.5000634000007267,['n'],1,right,none,-99,-99,0.5,-99,0,none,17,18,Woman,Right,
