withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,3.0667671999999584,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
1,1,1,2.2501845999995567,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
2,1,1,5.016192900000533,x,-99,left,none,-99,-99,0.5,-99,1,none,34,19,Woman,Right,
3,1,1,1.1006607999988773,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
4,1,1,0.833761300000333,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
5,1,1,1.9834965000009106,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
6,1,1,1.1337416999995185,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
7,1,1,1.2666200999992725,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
8,1,1,1.3174708000005921,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
9,1,1,1.1164645000008022,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
10,1,1,1.1164991999994527,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
11,1,1,2.2686319000004005,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
12,1,1,1.0998768999997992,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
13,1,1,0.7673221999993984,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
14,1,1,1.0005312000012054,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
15,1,1,1.0830626000006305,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
16,1,1,1.833568699999887,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
17,1,1,2.11627320000116,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
18,1,1,0.8169674999990093,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
19,1,1,0.7498206999989634,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
20,1,1,1.0668384000000515,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
21,1,1,0.816834099998232,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
22,1,1,0.8176087000010739,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
23,1,1,0.9672522000000754,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
0,1,2,0.8000394999999116,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
1,1,2,0.6166151999987051,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
2,1,2,0.8175276000001759,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
3,1,2,2.4995447999990574,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
4,1,2,2.283582899999601,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
5,1,2,0.7336716999998316,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
6,1,2,1.0660631999999168,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
7,1,2,1.3668746999992436,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
8,1,2,1.316404799999873,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
9,1,2,1.383663599999636,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
10,1,2,1.2168512999996892,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
11,1,2,0.8163430000004155,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
12,1,2,1.2675732000006974,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
13,1,2,1.316324600000371,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
14,1,2,1.1504363999993075,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
15,1,2,1.20038950000162,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
16,1,2,1.0338263000012375,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
17,1,2,1.8836470999995072,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
18,1,2,1.1170422999985021,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
19,1,2,0.9830701000009867,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
20,1,2,1.45013519999884,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
21,1,2,1.3172181000009004,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
22,1,2,1.3501051999992342,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
23,1,2,1.2998079999997572,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
0,1,3,1.2335886000000755,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
1,1,3,0.9161235999999917,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
2,1,3,1.9671655999991344,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
3,1,3,1.9506934999990335,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
4,1,3,0.9832114999990154,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
5,1,3,1.117429699999775,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
6,1,3,1.0999198999998043,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
7,1,3,0.9674586999990424,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
8,1,3,1.916711599998962,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
9,1,3,2.1838920999998663,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
10,1,3,2.26690249999956,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
11,1,3,0.9503858000007313,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
12,1,3,0.8668842999995832,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
13,1,3,0.8323719999989407,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
14,1,3,1.5821718999995937,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
15,1,3,1.7831984000004013,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
16,1,3,1.7004345999994257,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
17,1,3,2.8824659000001702,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
18,1,3,1.733455600000525,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
19,1,3,1.1500638000015897,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
20,1,3,0.8816489000000729,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
21,1,3,0.7502865999995265,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
22,1,3,0.8334918000000471,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
23,1,3,1.4502893999997468,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
0,1,4,1.200876099999732,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
1,1,4,0.733378900000389,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
2,1,4,1.1171786000013526,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
3,1,4,2.450798899999427,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
4,1,4,1.0841208000001643,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
5,1,4,1.0997590999995737,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
6,1,4,1.4004442999994353,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
7,1,4,2.5667972000010195,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
8,1,4,1.3834624999999505,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
9,1,4,1.1670165000014094,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
10,1,4,1.6495890999995027,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
11,1,4,1.3507986000004166,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
12,1,4,1.5837152000003698,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
13,1,4,0.717365599999539,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
14,1,4,1.483500099999219,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
15,1,4,0.9672778000003746,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
16,1,4,1.8015433000000485,['c'],0,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
17,1,4,0.9839955999996164,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
18,1,4,0.7498575000008714,['n'],0,left,none,-99,-99,0.5,-99,0,none,34,19,Woman,Right,
