withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,3.2313892000001943,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
1,1,1,0.6356386000006751,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
2,1,1,1.0669849000005343,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
3,1,1,1.2011598000008235,['n'],0,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
4,1,1,0.8664570000000822,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
5,1,1,0.6166338000002725,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
6,1,1,0.6345860999990691,['n'],0,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
7,1,1,2.2671430999998847,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
8,1,1,2.234543399999893,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
9,1,1,0.7838485000011133,['c'],0,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
10,1,1,0.7670579000005091,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
11,1,1,0.6337691999997332,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
12,1,1,0.5847429999994347,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
13,1,1,0.6841473000004044,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
14,1,1,0.5171041000012337,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
15,1,1,0.5013318000001163,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
16,1,1,1.633047400000578,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
17,1,1,0.6827856999989308,['c'],0,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
18,1,1,0.7173030000012659,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
19,1,1,0.9342696999992768,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
20,1,1,0.6171844000000419,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
21,1,1,0.7154907999993156,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
22,1,1,0.5331289999994624,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
23,1,1,0.5857312999996793,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
0,1,2,1.533819800000856,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
1,1,2,0.4363432999998622,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
2,1,2,0.5172007000001031,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
3,1,2,1.067337200000111,['n'],0,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
4,1,2,0.5337452000003395,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
5,1,2,0.46728600000096776,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
6,1,2,0.48453890000018873,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
7,1,2,0.467525600000954,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
8,1,2,0.6004389000008814,['n'],0,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
9,1,2,0.583737499999188,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
10,1,2,1.3671854000003805,['n'],0,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
11,1,2,1.5491675999983272,['n'],0,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
12,1,2,0.5838352999999188,['c'],1,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
13,1,2,0.5493612999998732,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
14,1,2,1.6843824000006862,['n'],0,left,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
15,1,2,0.6845223999989685,['c'],0,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
16,1,2,0.567251500000566,['n'],1,right,none,-99,-99,0.5,-99,0,none,25,18,Woman,Right,
