withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,5.001091499998438,x,-99,left,none,-99,-99,0.5,-99,1,none,24,18,Woman,Right,
1,1,1,1.000661799998852,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
2,1,1,1.9161574999998265,['c'],0,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
3,1,1,1.4505353000004106,"['c', 'n']",0,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
4,1,1,1.3679476999986946,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
5,1,1,0.4012531000007584,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
6,1,1,0.6675857999998698,['c'],0,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
7,1,1,0.4992684000008012,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
8,1,1,0.6832057999999961,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
9,1,1,0.7346331999997346,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
10,1,1,0.5334055999992415,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
11,1,1,0.2698729000003368,['c'],0,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
12,1,1,0.36628139999993437,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
13,1,1,0.5319534999998723,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
14,1,1,0.3681968999990204,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
15,1,1,0.7335777000007511,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
16,1,1,1.2673754999996163,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
17,1,1,0.9835949999996956,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
18,1,1,0.7012022000017168,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
19,1,1,0.40115500000138127,['c'],0,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
20,1,1,0.767914699999892,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
21,1,1,0.6352779999997438,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
22,1,1,0.6006747999999789,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
23,1,1,0.5510016999996878,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
0,1,2,0.3670265999990079,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
1,1,2,0.2505403000013757,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
2,1,2,0.41870810000000347,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
3,1,2,0.3331600999990769,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
4,1,2,0.2843265999999858,['c'],0,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
5,1,2,0.6850812000011501,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
6,1,2,0.7339455999990605,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
7,1,2,0.5340789999991102,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
8,1,2,0.36801609999929497,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
9,1,2,0.36908239999866055,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
10,1,2,0.551459900001646,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
11,1,2,0.43281060000117577,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
12,1,2,0.48262979999890376,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
13,1,2,0.6014157999998133,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
14,1,2,0.5341048999998748,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
15,1,2,0.5175194999992527,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
16,1,2,0.2676240000000689,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
17,1,2,0.5008529000006092,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
18,1,2,0.4342294000016409,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
19,1,2,0.6351594000007026,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
20,1,2,0.5843040999989171,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
21,1,2,0.6170285000007425,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
22,1,2,0.5846858999993856,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
23,1,2,0.533842500000901,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
0,1,3,0.9345771000007517,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
1,1,3,1.1005378999998356,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
2,1,3,0.4829910000007658,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
3,1,3,0.3841475999997783,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
4,1,3,0.6670653000001039,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
5,1,3,0.5338751999988745,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
6,1,3,0.5998934999988705,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
7,1,3,0.5837644000002911,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
8,1,3,0.6679585999991104,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
9,1,3,0.5681463000000804,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
10,1,3,0.6338673999998719,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
11,1,3,0.451033199999074,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
12,1,3,0.5169808999999077,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
13,1,3,0.35028779999993276,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
14,1,3,0.4504183999997622,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
15,1,3,0.28372830000080285,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
16,1,3,0.6339080999987345,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
17,1,3,0.45118379999985336,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
18,1,3,0.3661279999996623,['c'],0,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
19,1,3,0.3333925000006275,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
20,1,3,0.315791300001365,['c'],0,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
21,1,3,0.050244199999724515,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
22,1,3,0.6513675000005605,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
23,1,3,0.2840783999999985,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
0,1,4,0.4843237000004592,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
1,1,4,0.33437969999977213,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
2,1,4,0.33415750000131084,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
3,1,4,0.3518244000006234,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
4,1,4,0.46691680000003544,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
5,1,4,0.5338333999989118,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
6,1,4,0.48485729999993055,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
7,1,4,0.6014202000005753,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
8,1,4,0.3341383999995742,['n'],0,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
9,1,4,0.9000780000005761,['n'],1,right,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
10,1,4,0.6014510999993945,['c'],1,left,none,-99,-99,0.5,-99,0,none,24,18,Woman,Right,
