withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,1.4998502999999346,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
1,1,1,1.2323856000000433,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
2,1,1,1.5990924000000177,['n'],0,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
3,1,1,1.216184400000202,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
4,1,1,0.8497890999999527,['c'],0,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
5,1,1,2.183808800000179,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
6,1,1,1.0500116000000617,['c'],0,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
7,1,1,1.1153649000000314,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
8,1,1,1.033257699999922,['c'],0,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
9,1,1,1.8160118000000693,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
10,1,1,1.4006944000000203,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
11,1,1,0.9164935000001151,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
12,1,1,0.9827497000001131,['c'],0,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
13,1,1,0.782923899999787,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
14,1,1,0.8828641999998581,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
15,1,1,0.8164579000001595,['n'],0,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
16,1,1,0.866199800000004,['c'],0,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
17,1,1,0.8164093000000321,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
18,1,1,1.1339368999999806,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
