withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,4.566010300000016,['n'],0,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
1,1,1,5.01289799999995,x,-99,right,none,-99,-99,0.5,1,none,2,18,Woman,Right,
2,1,1,1.5138637000000017,['c'],0,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
3,1,1,3.2126993000001676,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
4,1,1,1.7462415999998484,['c'],0,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
5,1,1,0.9313164999994115,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
6,1,1,0.8975414000005912,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
7,1,1,0.8159802000000127,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
8,1,1,0.7496558000002551,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
9,1,1,0.8008577000000514,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
10,1,1,0.8472004000004745,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
11,1,1,0.9666661000001113,['c'],0,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
12,1,1,0.8339309000002686,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
13,1,1,1.3006388000003426,['n'],0,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
14,1,1,0.8661919999995007,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
15,1,1,0.7159929999997985,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
16,1,1,2.2160531999998057,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
17,1,1,0.9670803999997588,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
18,1,1,0.8505517000003238,['n'],0,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
19,1,1,1.04959400000007,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
20,1,1,0.8496237999997902,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
21,1,1,0.8839516999996704,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
22,1,1,1.000259599999481,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
23,1,1,0.8137769000004482,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
0,1,2,0.9150292000003901,['c'],0,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
1,1,2,1.5813090999999986,['n'],0,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
2,1,2,0.7478046999995058,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
3,1,2,1.164980700000342,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
4,1,2,0.7139170000000377,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
5,1,2,0.6974136999997427,['n'],0,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
6,1,2,0.647795099999712,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
7,1,2,0.6343523999994432,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
8,1,2,0.6631628000004639,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
9,1,2,0.5809534999998505,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
10,1,2,0.8000003999995897,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
11,1,2,0.44746549999945273,['n'],0,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
12,1,2,0.5795882000002166,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
13,1,2,1.0813739000004716,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
14,1,2,1.7973546000002898,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
15,1,2,0.8135185000001002,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
16,1,2,0.7309317999997802,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
17,1,2,0.8974624000002223,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
18,1,2,0.7636746999996831,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
19,1,2,0.9474589999999807,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
20,1,2,0.7470038000001296,['c'],0,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
21,1,2,1.0641393999994762,['n'],0,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
22,1,2,0.7317223999998532,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
23,1,2,0.9296914000005927,['c'],0,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
0,1,3,0.7999251999999615,['n'],0,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
1,1,3,0.8141802000000098,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
2,1,3,0.879576399999678,['n'],0,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
3,1,3,0.7646087000002808,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
4,1,3,0.6638064999997368,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
5,1,3,0.7473777000004702,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
6,1,3,0.6320021000001361,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
7,1,3,0.9826657000003252,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
8,1,3,0.847527099999752,['n'],1,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
9,1,3,0.9137484000002587,['c'],0,right,none,-99,-99,0.5,0,none,2,18,Woman,Right,
10,1,3,0.6804955999996309,['c'],1,left,none,-99,-99,0.5,0,none,2,18,Woman,Right,
