withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,2.082796500000768,['c'],1,left,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
1,1,1,3.449959099998523,['n'],1,right,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
2,1,1,1.1321220999998332,['c'],1,left,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
3,1,1,1.2341517000004387,['n'],1,right,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
4,1,1,5.016289199998937,x,-99,right,none,-99,-99,0.5,-99,1,none,33,18,Woman,Right,
5,1,1,1.6338488000001234,['n'],1,right,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
6,1,1,0.6502810999991198,['c'],1,left,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
7,1,1,1.0006817000012234,['c'],0,right,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
8,1,1,0.8825708000003942,['c'],1,left,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
9,1,1,0.7986246000000392,['n'],1,right,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
10,1,1,0.6514604000003601,['c'],1,left,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
11,1,1,0.8007532999999967,['c'],1,left,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
12,1,1,0.6990073999986635,['c'],1,left,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
13,1,1,0.8996948999993037,['n'],1,right,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
14,1,1,0.9677363999999216,['n'],1,right,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
15,1,1,0.7342946999997366,['c'],1,left,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
16,1,1,0.8839475999993738,['n'],1,right,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
17,1,1,0.6175579999999172,['c'],1,left,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
18,1,1,1.2176915000000008,['n'],1,right,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
19,1,1,1.0338517999989563,['c'],1,left,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
20,1,1,0.7824037000009412,['c'],1,left,none,-99,-99,0.5,-99,0,none,33,18,Woman,Right,
