withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,4.150001699999848,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
1,1,1,2.1509332999994513,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
2,1,1,5.00152479999997,x,-99,right,none,-99,-99,0.5,-99,1,none,26,18,Woman,Left,
3,1,1,1.0661889000002702,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
4,1,1,1.117996699998912,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
5,1,1,1.1513821000007738,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
6,1,1,0.9659057999997458,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
7,1,1,1.834331200001543,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
8,1,1,0.917493300001297,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
9,1,1,0.9842306999998982,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
10,1,1,1.099534400000266,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
11,1,1,2.766395399999965,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
12,1,1,1.1996395000005577,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
13,1,1,3.9334569000002375,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
14,1,1,0.9842162999993889,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
15,1,1,0.9507830999991711,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
16,1,1,1.5010010000005423,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
17,1,1,2.0336936000003334,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
18,1,1,1.9657898000004934,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
19,1,1,2.017954599999939,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
20,1,1,1.4841830000004848,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
21,1,1,1.1850292999988596,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
22,1,1,1.184724800001277,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
23,1,1,1.283926899999642,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
0,1,2,3.2174493000002258,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
1,1,2,1.4012764999988576,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
2,1,2,2.566551399999298,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
3,1,2,2.815181999998458,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
4,1,2,1.468249100000321,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
5,1,2,1.5659388999993098,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
6,1,2,1.182342800000697,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
7,1,2,4.18409359999896,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
8,1,2,3.4013168000001315,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
9,1,2,1.3161569999992935,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
10,1,2,2.86713570000029,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
11,1,2,0.7332005999996909,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
12,1,2,0.7338532000012492,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
13,1,2,1.6335412000007636,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
14,1,2,1.4503076000000874,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
15,1,2,1.150879900000291,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
16,1,2,3.882477499999368,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
17,1,2,1.1839168000005884,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
18,1,2,1.7327628000002733,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
19,1,2,1.3003923000014765,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
20,1,2,1.2004454000016267,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
21,1,2,2.650766400000066,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
22,1,2,1.2844052000000374,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
23,1,2,1.0342056999998022,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
0,1,3,2.432829199999105,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
1,1,3,1.501220000000103,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
2,1,3,1.7838988000003155,['c'],0,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
3,1,3,2.983237599999484,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
4,1,3,2.2658501000005344,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
5,1,3,1.800579300001118,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
6,1,3,2.2009158000000753,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
7,1,3,1.115835499998866,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
8,1,3,0.9008305000006658,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
9,1,3,1.634358199999042,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
10,1,3,2.2341624000000593,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
11,1,3,2.1668251999999484,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
12,1,3,1.8161063000006834,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
13,1,3,1.067101399999956,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
14,1,3,1.9830406000000949,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
15,1,3,1.4332128000005468,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
16,1,3,1.0672038000011526,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
17,1,3,0.9332821000007243,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
18,1,3,2.0672732000002725,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
19,1,3,1.199489700000413,['c'],1,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
20,1,3,2.333903400000054,['n'],0,left,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
21,1,3,2.2650727999989613,['n'],1,right,none,-99,-99,0.5,-99,0,none,26,18,Woman,Left,
