withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,2.1160125999995216,['c'],1,left,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
1,1,1,0.9668197999999393,['n'],0,left,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
2,1,1,1.316795999999158,['c'],1,left,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
3,1,1,1.0673243000001094,['c'],1,left,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
4,1,1,1.1166377999998076,['c'],1,left,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
5,1,1,0.7513125999994372,['n'],1,right,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
6,1,1,1.2336302000003343,['n'],1,right,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
7,1,1,0.9843199999995704,['c'],1,left,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
8,1,1,0.7003918999998859,['n'],1,right,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
9,1,1,0.5842162999997527,['c'],1,left,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
10,1,1,0.7176502000002074,['n'],1,right,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
11,1,1,0.8672435999997106,['c'],1,left,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
12,1,1,1.2338615999997273,['c'],1,left,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
13,1,1,0.93497539999953,['c'],0,right,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
14,1,1,1.3328567000007752,['n'],1,right,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
15,1,1,1.2162408999993204,['n'],1,right,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
16,1,1,0.6674554000001081,['n'],1,right,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
17,1,1,0.9167851000001974,['n'],1,right,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
18,1,1,1.0337068999997427,['n'],0,left,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
19,1,1,0.8996855000004871,['n'],1,right,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
20,1,1,0.7834676000002219,['c'],1,left,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
21,1,1,0.6663067000008596,['n'],1,right,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
22,1,1,0.7664974999988772,['n'],1,right,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
23,1,1,1.1163092000006145,['c'],1,left,none,-99,-99,0.5,-99,0,none,36,18,Woman,Right,
0,2,1,1.3514893999999913,['c'],1,left,none,-99,-99,0.4,-99,0,none,36,18,Woman,Right,
1,2,1,0.9834769999997661,['n'],1,right,none,-99,-99,0.1,-99,0,none,36,18,Woman,Right,
2,2,1,1.6837223000002268,['n'],0,left,none,-99,-99,0.1,-99,0,none,36,18,Woman,Right,
3,2,1,1.4008543999989342,['n'],0,left,none,-99,-99,0.2,-99,0,none,36,18,Woman,Right,
4,2,1,0.7348722999995516,['c'],1,left,none,-99,-99,0.1,-99,0,none,36,18,Woman,Right,
5,2,1,0.6010265000004438,['n'],1,right,none,-99,-99,0.2,-99,0,none,36,18,Woman,Right,
6,2,1,0.8499955000006594,['c'],0,right,none,-99,-99,0.2,-99,0,none,36,18,Woman,Right,
7,2,1,1.2842087000008178,['n'],0,left,none,-99,-99,0.2,-99,0,none,36,18,Woman,Right,
8,2,1,1.5837198999997781,['c'],0,right,none,-99,-99,0.2,-99,0,none,36,18,Woman,Right,
9,2,1,0.7661227999997209,['n'],1,right,none,-99,-99,0.2,-99,0,none,36,18,Woman,Right,
10,2,1,0.8842189000006329,['n'],0,left,none,-99,-99,0.1,-99,0,none,36,18,Woman,Right,
11,2,1,1.1169908000010764,['n'],1,right,none,-99,-99,0.4,-99,0,none,36,18,Woman,Right,
12,2,1,1.167659900000217,['c'],1,left,none,-99,-99,0.4,-99,0,none,36,18,Woman,Right,
13,2,1,0.8984893999986525,['n'],1,right,none,-99,-99,0.4,-99,0,none,36,18,Woman,Right,
14,2,1,1.9825455999998667,['c'],0,right,none,-99,-99,0.1,-99,0,none,36,18,Woman,Right,
15,2,1,1.6176541999993788,['c'],0,right,none,-99,-99,0.4,-99,0,none,36,18,Woman,Right,
16,2,1,1.6174866999990627,['c'],1,left,none,-99,-99,0.4,-99,0,none,36,18,Woman,Right,
17,2,1,0.9839590999999928,['c'],0,right,none,-99,-99,0.1,-99,0,none,36,18,Woman,Right,
18,2,1,1.6158293000007689,['c'],1,left,none,-99,-99,0.4,-99,0,none,36,18,Woman,Right,
19,2,1,1.7336022999988927,['n'],1,right,none,-99,-99,0.4,-99,0,none,36,18,Woman,Right,
20,2,1,1.6502268000003824,['c'],1,left,none,-99,-99,0.2,-99,0,none,36,18,Woman,Right,
21,2,1,2.2839602999993076,['c'],1,left,none,-99,-99,0.2,-99,0,none,36,18,Woman,Right,
22,2,1,1.9981218999982957,['n'],1,right,none,-99,-99,0.1,-99,0,none,36,18,Woman,Right,
23,2,1,1.7153359000003547,['c'],1,left,none,-99,-99,0.1,-99,0,none,36,18,Woman,Right,
0,3,1,1.584640400000353,['c'],1,left,['e'],1,0.8286981000001106,0.1,1,0,none,36,18,Woman,Right,
1,3,1,1.8343191000003571,['c'],1,left,['e'],1,0.4726931999994122,0.1,1,0,none,36,18,Woman,Right,
2,3,1,2.234516700000313,['c'],1,left,['u'],0,0.4829394999997021,0.2,0,0,none,36,18,Woman,Right,
3,3,1,2.116707299999689,['c'],1,left,['e'],1,0.5463629999994737,0.2,1,0,none,36,18,Woman,Right,
4,3,1,2.517660600000454,['n'],0,left,['u'],0,0.6372707999998966,0.4,1,0,none,36,18,Woman,Right,
5,3,1,2.7169598000000406,['c'],0,right,['u'],0,0.8776592000012897,0.4,1,0,none,36,18,Woman,Right,
6,3,1,2.7508514000001014,['n'],1,right,['u'],0,0.532398600000306,0.2,0,0,none,36,18,Woman,Right,
7,3,1,1.3504946000011842,['c'],1,left,['e'],1,0.46311099999911676,0.2,1,0,none,36,18,Woman,Right,
