withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,2.483769000000393,['n'],0,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
1,1,1,3.450399199999083,['c'],0,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
2,1,1,2.1494769000000815,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
3,1,1,1.0497642999998789,['c'],0,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
4,1,1,1.916503799999191,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
5,1,1,1.300060300000041,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
6,1,1,1.9348303000006126,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
7,1,1,1.5674909999997908,['n'],0,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
8,1,1,1.1845111000002362,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
9,1,1,1.3510362000015448,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
10,1,1,0.7341930000002321,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
11,1,1,2.0658008999998856,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
12,1,1,0.9495688000006339,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
13,1,1,1.1503546000003553,['c'],0,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
14,1,1,0.9180434999998397,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
15,1,1,0.9326383999996324,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
16,1,1,0.5351028999994014,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
17,1,1,0.7836497000007512,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
18,1,1,0.982806599999094,['n'],0,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
19,1,1,0.6501246000007086,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
20,1,1,0.699416100000235,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
21,1,1,1.100411500001428,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
22,1,1,0.8819722000007459,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
23,1,1,0.6007430999998178,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
0,1,2,0.8346456999988732,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
1,1,2,0.6157170000005863,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
2,1,2,0.7508281999998871,['c'],0,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
3,1,2,0.48378819999925327,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
4,1,2,0.6171314000002894,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
5,1,2,0.4842445000012958,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
6,1,2,0.46702189999996335,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
7,1,2,0.5832759999993868,['c'],0,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
8,1,2,0.5002201999996032,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
9,1,2,0.4669670999992377,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
10,1,2,0.58297390000007,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
11,1,2,0.46686790000057954,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
12,1,2,0.6177425000005314,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
13,1,2,0.8658829999985755,['n'],0,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
14,1,2,0.5499245999999403,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
15,1,2,0.5332992999992712,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
16,1,2,0.6663365000003978,['n'],0,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
17,1,2,0.5500737000002118,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
18,1,2,0.6007709000004979,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
19,1,2,0.5171664999998029,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
20,1,2,0.4996726999997918,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
21,1,2,0.4507394000011118,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
22,1,2,0.4826269000004686,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
23,1,2,1.0830695999993623,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
0,1,3,1.1336023999992904,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
1,1,3,0.4163072999999713,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
2,1,3,0.8335052999991603,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
3,1,3,0.3990427999997337,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
4,1,3,0.49958370000058494,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
5,1,3,0.6168890999997529,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
6,1,3,1.2669473000005382,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
7,1,3,0.9517044000003807,['n'],0,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
8,1,3,0.615830000000642,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
9,1,3,0.5162165000001551,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
10,1,3,0.6831579999998212,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
11,1,3,0.6677185999997164,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
12,1,3,0.783245500000703,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
13,1,3,0.7184627000006003,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
14,1,3,0.48369150000144145,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
15,1,3,0.7492122000003292,['n'],0,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
16,1,3,0.5670328000014706,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
17,1,3,0.6328228999991552,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
18,1,3,0.4836673999998311,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
19,1,3,0.4832919000000402,['c'],1,left,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
20,1,3,0.41768599999886646,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
21,1,3,0.500260699998762,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
22,1,3,0.617340000000695,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
23,1,3,0.5342696999996406,['n'],1,right,none,-99,-99,0.5,-99,0,none,30,18,Woman,Left,
0,2,1,0.6673399999999674,['c'],1,left,none,-99,-99,0.4,-99,0,none,30,18,Woman,Left,
1,2,1,2.1843434999991587,['c'],1,left,none,-99,-99,0.1,-99,0,none,30,18,Woman,Left,
2,2,1,0.7337297999984003,['n'],1,right,none,-99,-99,0.2,-99,0,none,30,18,Woman,Left,
3,2,1,0.5004396999993332,['c'],1,left,none,-99,-99,0.2,-99,0,none,30,18,Woman,Left,
4,2,1,0.5170445999992808,['n'],1,right,none,-99,-99,0.1,-99,0,none,30,18,Woman,Left,
5,2,1,0.7336020999991888,['c'],1,left,none,-99,-99,0.1,-99,0,none,30,18,Woman,Left,
6,2,1,0.9006728000003932,['n'],1,right,none,-99,-99,0.1,-99,0,none,30,18,Woman,Left,
7,2,1,0.5681672000009712,['c'],0,right,none,-99,-99,0.1,-99,0,none,30,18,Woman,Left,
8,2,1,0.6829778000010265,['n'],1,right,none,-99,-99,0.1,-99,0,none,30,18,Woman,Left,
9,2,1,0.6005433999998786,['n'],1,right,none,-99,-99,0.4,-99,0,none,30,18,Woman,Left,
10,2,1,1.217467000000397,['n'],1,right,none,-99,-99,0.2,-99,0,none,30,18,Woman,Left,
11,2,1,0.5672668999995949,['c'],1,left,none,-99,-99,0.4,-99,0,none,30,18,Woman,Left,
12,2,1,0.6991988999998284,['c'],1,left,none,-99,-99,0.1,-99,0,none,30,18,Woman,Left,
13,2,1,0.8173276000015903,['n'],1,right,none,-99,-99,0.2,-99,0,none,30,18,Woman,Left,
14,2,1,0.6845690999998624,['n'],0,left,none,-99,-99,0.2,-99,0,none,30,18,Woman,Left,
15,2,1,0.9843459999992774,['n'],1,right,none,-99,-99,0.2,-99,0,none,30,18,Woman,Left,
16,2,1,0.5677829000014754,['c'],1,left,none,-99,-99,0.4,-99,0,none,30,18,Woman,Left,
17,2,1,0.6833811000014975,['n'],0,left,none,-99,-99,0.2,-99,0,none,30,18,Woman,Left,
18,2,1,0.4836618000008457,['c'],1,left,none,-99,-99,0.1,-99,0,none,30,18,Woman,Left,
19,2,1,0.7326580999997532,['n'],0,left,none,-99,-99,0.4,-99,0,none,30,18,Woman,Left,
20,2,1,0.9349497000002884,['n'],1,right,none,-99,-99,0.4,-99,0,none,30,18,Woman,Left,
21,2,1,0.8676586999990832,['n'],1,right,none,-99,-99,0.4,-99,0,none,30,18,Woman,Left,
22,2,1,0.4338747000001604,['n'],1,right,none,-99,-99,0.4,-99,0,none,30,18,Woman,Left,
23,2,1,0.4996019000009255,['c'],1,left,none,-99,-99,0.2,-99,0,none,30,18,Woman,Left,
0,3,1,5.000191999999515,x,-99,left,none,-99,-99,0.4,-99,1,none,30,18,Woman,Left,
1,3,1,0.835137100000793,['n'],0,left,['u'],0,2.588394000000335,0.1,1,0,none,30,18,Woman,Left,
2,3,1,0.9501854999998613,['c'],1,left,['e'],1,1.2060670999999274,0.2,1,0,none,30,18,Woman,Left,
3,3,1,0.8503079999991314,['n'],0,left,['e'],1,0.5701083000003564,0.4,0,0,none,30,18,Woman,Left,
4,3,1,1.4012102999986382,['n'],1,right,['e'],1,0.8970062999997026,0.4,1,0,none,30,18,Woman,Left,
5,3,1,1.4677900999995472,['c'],0,right,['u'],0,0.6967069999991509,0.1,1,0,none,30,18,Woman,Left,
6,3,1,0.917124600000534,['n'],0,left,['u'],0,0.9262620999998035,0.1,1,0,none,30,18,Woman,Left,
7,3,1,1.2502868000010494,['n'],1,right,['e'],1,1.2464745999986917,0.2,1,0,none,30,18,Woman,Left,
8,3,1,1.5493717000008473,['n'],1,right,['u'],0,1.5088121999997384,0.2,0,0,none,30,18,Woman,Left,
9,3,1,1.2010476999985258,['c'],1,left,['e'],1,0.7029916999999841,0.4,1,0,none,30,18,Woman,Left,
10,3,1,0.7678720999992947,['n'],0,left,['e'],1,0.5861446999988402,0.2,0,0,none,30,18,Woman,Left,
11,3,1,1.6833065999999235,['n'],1,right,['u'],0,0.6300754000003508,0.1,0,0,none,30,18,Woman,Left,
12,3,1,0.8831745999996201,['n'],1,right,['e'],1,0.27237349999995786,0.4,1,0,none,30,18,Woman,Left,
13,3,1,1.501007099999697,['n'],1,right,['e'],1,0.44703320000007807,0.1,1,0,none,30,18,Woman,Left,
14,3,1,2.1837572999993426,['n'],1,right,['u'],0,0.5716931000006298,0.1,0,0,none,30,18,Woman,Left,
