withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,1.8174794999995356,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
1,1,1,1.9996090000004187,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
2,1,1,2.4334337000000232,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
3,1,1,1.5179026000005251,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
4,1,1,4.4337209000004805,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
5,1,1,4.931726099999651,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
6,1,1,1.417088000000149,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
7,1,1,4.100179600000047,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
8,1,1,5.000278100000287,x,-99,right,none,-99,-99,0.5,-99,1,none,28,17,Woman,Right,
9,1,1,0.9336371000008512,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
10,1,1,0.8007261999991897,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
11,1,1,0.6676991000003909,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
12,1,1,0.7667251999992004,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
13,1,1,0.7838408999996318,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
14,1,1,0.9667551999991701,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
15,1,1,0.884171099998639,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
16,1,1,2.201329199999236,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
17,1,1,0.7338376999996399,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
18,1,1,2.100175200001104,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
19,1,1,0.8333562000007078,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
20,1,1,0.7511066999995819,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
21,1,1,3.1004803000014363,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
22,1,1,3.134242500000255,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
23,1,1,2.7001887999995233,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
0,1,2,1.117849500000375,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
1,1,2,0.6511049000000639,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
2,1,2,1.6343108000000939,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
3,1,2,0.6155190000008588,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
4,1,2,2.0348513000008097,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
5,1,2,1.6343847999996797,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
6,1,2,2.1843977000007726,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
7,1,2,3.183273900000131,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
8,1,2,3.016400299999077,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
9,1,2,0.7341670999994676,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
10,1,2,0.4678284999990865,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
11,1,2,0.8328882000005251,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
12,1,2,2.983660500000042,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
13,1,2,1.1327998999986448,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
14,1,2,2.368438600000445,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
15,1,2,0.7340463000000454,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
16,1,2,2.5515030000005936,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
17,1,2,2.550005400000373,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
18,1,2,3.41731609999988,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
19,1,2,1.3676713000004384,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
20,1,2,2.1826100000016595,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
21,1,2,1.4669384000007994,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
22,1,2,0.6845728999996936,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
23,1,2,0.7505836999989697,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
0,1,3,2.6677589999999327,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
1,1,3,0.7505823999999848,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
2,1,3,2.3832644000012806,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
3,1,3,2.4831813000000693,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
4,1,3,1.8005229999998846,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
5,1,3,2.7000645999996777,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
6,1,3,1.5184248000005027,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
7,1,3,1.1522658999983832,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
8,1,3,2.0169581999998627,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
9,1,3,3.050163899999461,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
10,1,3,1.4502959000001283,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
11,1,3,2.8665228999998362,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
12,1,3,2.5174601999988226,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
13,1,3,1.8158827999995992,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
14,1,3,0.717531100000997,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
15,1,3,0.5835213999998814,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
16,1,3,0.49936110000089684,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
17,1,3,0.5493606999989424,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
18,1,3,0.7667154000009759,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
19,1,3,0.7176528999989387,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
20,1,3,1.6679722000008042,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
21,1,3,3.0834680999996635,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
22,1,3,2.415698599999814,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
23,1,3,1.5511218999999983,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
0,1,4,0.7167768999988766,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
1,1,4,3.7005740999993577,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
2,1,4,3.0005983999999444,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
3,1,4,0.9843368999991071,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
4,1,4,1.3510375999994721,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
5,1,4,1.9155845000004774,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
6,1,4,1.0163989000011497,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
7,1,4,0.7341301000014937,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
8,1,4,0.8161821000012424,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
9,1,4,2.6329623000001448,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
10,1,4,2.099864499999967,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
11,1,4,0.616455200000928,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
12,1,4,2.817785499999445,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
13,1,4,0.7676430999999866,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
14,1,4,1.7508409000001848,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
15,1,4,3.300458500001696,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
16,1,4,3.383547200000976,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
17,1,4,4.08341289999953,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
18,1,4,3.9339901999992435,['c'],1,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
19,1,4,4.4827156999999715,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
20,1,4,1.033791600000768,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
21,1,4,1.9007947999998578,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
22,1,4,3.7660298999999213,['n'],1,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
23,1,4,0.8498732000007294,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
0,1,5,2.867329400000017,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
1,1,5,2.933663099998739,['n'],0,left,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
2,1,5,0.3342867999999726,['c'],0,right,none,-99,-99,0.5,-99,0,none,28,17,Woman,Right,
