withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,2.0343621000001804,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
1,1,1,1.116487700000107,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
2,1,1,2.800152700000581,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
3,1,1,1.4180332000005365,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
4,1,1,1.48414159999993,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
5,1,1,1.0678829999997106,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
6,1,1,0.9330878000000666,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
7,1,1,1.6673540000001594,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
8,1,1,1.616775399999824,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
9,1,1,0.9674025000003894,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
10,1,1,0.9334301999997479,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
11,1,1,1.7180482000003394,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
12,1,1,0.7486335000003237,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
13,1,1,0.868580700000166,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
14,1,1,1.067229000000225,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
15,1,1,0.7004739999993035,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
16,1,1,0.9013221000004705,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
17,1,1,0.7996911999998702,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
18,1,1,0.8493870000002062,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
19,1,1,0.617795400000432,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
20,1,1,0.6679831999999806,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
21,1,1,0.7170365000001766,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
22,1,1,0.6835897000000841,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
23,1,1,0.784759899999699,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
0,1,2,0.7326030000003811,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
1,1,2,0.7671446000003925,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
2,1,2,0.6512044999999489,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
3,1,2,0.48272739999993064,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
4,1,2,0.618478999999752,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
5,1,2,1.0338853000002928,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
6,1,2,0.684132899999895,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
7,1,2,0.8006651000005149,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
8,1,2,0.5500621000001047,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
9,1,2,0.6348314000006212,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
10,1,2,0.8836992999995346,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
11,1,2,0.6671261000001323,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
12,1,2,0.6843251999998756,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
13,1,2,0.7180181999992783,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
14,1,2,0.5838018000004013,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
15,1,2,1.0347299000004568,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
16,1,2,0.7665412999995169,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
17,1,2,0.784226700000545,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
18,1,2,0.7339474000000337,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
19,1,2,0.6657961000000796,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
20,1,2,0.6823811000003843,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
21,1,2,0.9013082000001305,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
22,1,2,0.8343066999996154,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
23,1,2,0.5491815000004863,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
0,1,3,0.7679552999998123,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
1,1,3,0.5179430999996839,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
2,1,3,0.5828480000000127,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
3,1,3,0.7169084999995903,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
4,1,3,0.6174227999999857,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
5,1,3,0.533855599999697,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
6,1,3,0.8838457000001654,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
7,1,3,0.9160996000000523,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
8,1,3,0.7683351999994557,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
9,1,3,0.617804999999862,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
10,1,3,0.8841083999996044,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
11,1,3,1.0005672999996023,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
12,1,3,0.5673463000002812,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
13,1,3,0.5836764999994557,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
14,1,3,1.6349269000002096,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
15,1,3,0.40121580000050017,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
16,1,3,1.0017351999995299,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
17,1,3,0.3509483999996519,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
18,1,3,0.35013960000014777,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
19,1,3,0.5508009000004677,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
20,1,3,0.6505635000003167,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
21,1,3,0.384533399999782,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
22,1,3,0.8828342999995584,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
23,1,3,0.48369540000021516,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
0,1,4,0.8507194999992862,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
1,1,4,1.1673825999996552,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
2,1,4,0.8672551999998177,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
