withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,3.0172136999999566,['c'],1,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
1,1,1,0.715968100000282,['n'],1,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
2,1,1,0.5841309000006731,['c'],0,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
3,1,1,3.3831381999998484,['n'],0,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
4,1,1,0.8011329000000842,['c'],1,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
5,1,1,1.0331559000005655,['n'],1,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
6,1,1,0.9678406000002724,['n'],1,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
7,1,1,4.266279100000247,['n'],0,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
8,1,1,1.2825915000003079,['c'],1,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
9,1,1,0.3345718000000488,['n'],1,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
10,1,1,0.7335882000006677,['c'],0,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
11,1,1,0.5998724000000948,['n'],0,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
12,1,1,0.43417930000032356,['c'],0,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
13,1,1,0.44933409999975993,['n'],0,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
14,1,1,1.666878899999574,['n'],0,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
15,1,1,0.6171127999996315,['c'],0,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
16,1,1,0.5676100999999107,['n'],1,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
17,1,1,0.7500558000001547,['n'],0,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
18,1,1,0.7491273000005094,['c'],0,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
19,1,1,3.4007213999993837,['n'],1,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
20,1,1,1.23325130000012,['n'],0,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
21,1,1,0.1171635000000606,['c'],1,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
22,1,1,0.5172320000001491,['c'],0,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
23,1,1,0.4497715000006792,['n'],0,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
0,1,2,0.7004184999996141,['n'],0,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
1,1,2,0.4837787999995271,['c'],0,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
2,1,2,0.5174060999997891,['n'],1,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
3,1,2,0.49907900000016525,['n'],1,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
4,1,2,0.4341380999994726,['n'],1,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
5,1,2,0.4845980000000054,['n'],0,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
6,1,2,0.41783229999964533,['c'],1,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
7,1,2,0.4835137999998551,['c'],1,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
8,1,2,0.48438850000002276,['c'],1,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
9,1,2,0.583642200000213,['n'],1,right,none,-99,-99,0.5,0,none,29,19,Woman,Right,
10,1,2,0.4667936000005284,['c'],1,left,none,-99,-99,0.5,0,none,29,19,Woman,Right,
