withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,1.5167430000001332,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
1,1,1,0.8164578999994774,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
2,1,1,0.9833590000007462,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
3,1,1,1.3497575000001234,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
4,1,1,1.24985740000011,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
5,1,1,0.7842405999999755,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
6,1,1,0.8515735000000859,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
7,1,1,0.9839427000006253,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
8,1,1,0.6339593000002424,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
9,1,1,0.4329578999995647,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
10,1,1,0.9343343999998979,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
11,1,1,0.6006262999999308,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
12,1,1,0.683259100000214,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
13,1,1,0.850817200000165,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
14,1,1,1.1833012999995844,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
15,1,1,0.8171096999994916,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
16,1,1,0.9158455000006143,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
17,1,1,1.6670945000005304,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
18,1,1,1.650436300000365,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
19,1,1,1.383677599999828,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
20,1,1,1.6159889000000476,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
21,1,1,1.1657674999996743,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
22,1,1,2.299108299999716,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
23,1,1,0.6496837000004234,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
0,1,2,0.7170416999997542,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
1,1,2,0.5339309000000867,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
2,1,2,0.7845613999998022,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
3,1,2,0.7512416999998095,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
4,1,2,0.4170584000003146,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
5,1,2,0.4838318000001891,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
6,1,2,0.834302199999911,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
7,1,2,0.5504115000003367,['c'],1,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
8,1,2,0.6173396000003777,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
9,1,2,0.9163453999999547,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
10,1,2,1.3519000999995114,['c'],0,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
11,1,2,0.7496037999999317,['n'],0,left,none,-99,-99,0.5,0,none,28,18,Woman,Right,
12,1,2,1.6175924000008308,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
13,1,2,1.0664787999994587,['n'],1,right,none,-99,-99,0.5,0,none,28,18,Woman,Right,
