withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,3.966437800001586,['c'],0,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
1,1,1,1.8821346999993693,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
2,1,1,1.6674629999997705,['n'],1,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
3,1,1,0.6835042999991856,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
4,1,1,0.7341746999991301,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
5,1,1,0.46537520000129007,['c'],0,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
6,1,1,0.6494039000008343,['n'],1,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
7,1,1,0.5987187000009726,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
8,1,1,0.851250899999286,['n'],1,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
9,1,1,0.35054909999962547,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
10,1,1,0.6835307000001194,['n'],1,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
11,1,1,0.41706080000039947,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
12,1,1,0.915988799999468,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
13,1,1,0.9182444999987638,['n'],1,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
14,1,1,0.3156177000000753,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
15,1,1,0.6514750000005733,['n'],1,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
16,1,1,0.4679803000017273,['c'],0,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
17,1,1,0.9329218000002584,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
18,1,1,0.7508582000009483,['c'],0,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
19,1,1,0.7513331999998627,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
20,1,1,1.033734699998604,['n'],1,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
21,1,1,0.6509182999998302,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
22,1,1,1.0004265000006853,['c'],0,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
23,1,1,0.6826724999991711,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
0,1,2,0.4016397000013967,['c'],0,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
1,1,2,0.6161603000000468,['n'],1,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
2,1,2,0.35160980000000563,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
3,1,2,0.6990072000007785,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
4,1,2,0.6839331999999558,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
5,1,2,0.5006231999996089,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
6,1,2,0.6162060000006022,['n'],1,right,none,-99,-99,0.5,0,none,31,18,Woman,Right,
7,1,2,0.3017376999996486,['c'],1,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
8,1,2,0.3838372000009258,['n'],0,left,none,-99,-99,0.5,0,none,31,18,Woman,Right,
