withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,1.367300699999987,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
1,1,1,1.2507321000000502,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
2,1,1,0.7832702000000609,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
3,1,1,0.6159390999998777,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
4,1,1,0.7505065000000286,['n'],0,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
5,1,1,1.5497740999999223,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
6,1,1,1.4669218000001365,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
7,1,1,0.9832153000002108,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
8,1,1,1.2837996999999177,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
9,1,1,1.1836111000000074,['c'],0,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
10,1,1,1.1838998999999149,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
11,1,1,1.4164836999998442,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
12,1,1,1.166621300000088,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
13,1,1,1.2325083000000632,['c'],0,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
14,1,1,1.0341840000000957,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
15,1,1,1.083464000000049,['c'],0,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
16,1,1,1.5001691999998457,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
17,1,1,1.449838600000021,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
18,1,1,1.2170619000000897,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
19,1,1,1.1005526999999802,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
20,1,1,1.0670632999999725,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
21,1,1,1.0171196999999665,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
22,1,1,1.2503997000001164,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
23,1,1,0.6499088000000484,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
0,1,2,0.9338381000000027,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
1,1,2,1.3331651999999394,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
2,1,2,0.7169317000000319,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
3,1,2,1.0495530999999119,['c'],0,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
4,1,2,0.8997144000002208,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
5,1,2,0.8840675000001283,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
6,1,2,0.8331436000000849,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
7,1,2,1.0007934999998724,['c'],0,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
8,1,2,1.0996990999999525,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
9,1,2,1.083347799999956,['n'],0,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
10,1,2,0.8003728999999566,['c'],0,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
11,1,2,1.4835295000000315,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
12,1,2,1.0500887000000603,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
13,1,2,1.2171862000000147,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
14,1,2,1.1174139000002015,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
15,1,2,1.5333686000001308,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
16,1,2,1.0500276000000213,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
17,1,2,0.9334300999998959,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
18,1,2,0.9164023999999245,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
19,1,2,0.6677701999999499,['n'],0,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
20,1,2,1.14996310000015,['c'],0,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
21,1,2,0.9498975999999857,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
22,1,2,1.1670000999999957,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
23,1,2,1.250253100000009,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
0,1,3,0.9333596000001307,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
1,1,3,1.4670814999999493,['c'],0,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
2,1,3,0.982961400000022,['c'],0,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
3,1,3,0.9337006999999176,['n'],1,right,none,-99,-99,0.5,0,none,15,18,Woman,Right,
4,1,3,0.9510263000001942,['c'],1,left,none,-99,-99,0.5,0,none,15,18,Woman,Right,
