withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,0.8829529999998158,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
1,1,1,0.5830739000000449,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
2,1,1,0.6668737999998484,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
3,1,1,0.5668923000000632,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
4,1,1,0.6161841999999069,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
5,1,1,0.5831699000000299,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
6,1,1,1.500347099999999,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
7,1,1,0.8835878999998386,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
8,1,1,0.5501600000000053,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
9,1,1,0.6334648000001835,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
10,1,1,0.6503727000001618,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
11,1,1,0.6321878999999626,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
12,1,1,0.5506745000000137,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
13,1,1,0.48263279999991937,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
14,1,1,0.6165742999999111,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
15,1,1,0.5506179999999858,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
16,1,1,0.5333757000000787,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
17,1,1,0.516097899999977,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
18,1,1,0.5661838999999418,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
19,1,1,0.4827067999999599,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
20,1,1,0.4995861000002151,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
21,1,1,0.48282289999997374,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
22,1,1,0.5493991999999253,['c'],1,left,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
23,1,1,0.8832148999999845,['n'],1,right,none,-99,-99,0.5,-99,0,none,34,18,Woman,Right,
