withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,2.1505200000001423,['n'],1,right,none,-99,-99,0.5,0,none,37,18,Woman,Right,
1,1,1,0.7171821000001728,['c'],1,left,none,-99,-99,0.5,0,none,37,18,Woman,Right,
2,1,1,0.5329459000004135,['c'],1,left,none,-99,-99,0.5,0,none,37,18,Woman,Right,
3,1,1,0.5183761999996932,['n'],1,right,none,-99,-99,0.5,0,none,37,18,Woman,Right,
4,1,1,0.5345583000007537,['c'],1,left,none,-99,-99,0.5,0,none,37,18,Woman,Right,
5,1,1,0.4825590000000375,['n'],1,right,none,-99,-99,0.5,0,none,37,18,Woman,Right,
6,1,1,0.4676884999998947,['n'],1,right,none,-99,-99,0.5,0,none,37,18,Woman,Right,
7,1,1,0.6177413999994315,['c'],1,left,none,-99,-99,0.5,0,none,37,18,Woman,Right,
8,1,1,0.6012431000008291,['c'],1,left,none,-99,-99,0.5,0,none,37,18,Woman,Right,
9,1,1,0.41822859999956563,['c'],1,left,none,-99,-99,0.5,0,none,37,18,Woman,Right,
10,1,1,0.4998667999998361,['c'],1,left,none,-99,-99,0.5,0,none,37,18,Woman,Right,
11,1,1,0.584556299999349,['n'],1,right,none,-99,-99,0.5,0,none,37,18,Woman,Right,
12,1,1,0.48346549999951094,['n'],1,right,none,-99,-99,0.5,0,none,37,18,Woman,Right,
13,1,1,0.5993089000003238,['c'],1,left,none,-99,-99,0.5,0,none,37,18,Woman,Right,
14,1,1,0.4503335999997944,['n'],1,right,none,-99,-99,0.5,0,none,37,18,Woman,Right,
15,1,1,0.5343698999995468,['n'],1,right,none,-99,-99,0.5,0,none,37,18,Woman,Right,
16,1,1,0.5999359999996159,['n'],1,right,none,-99,-99,0.5,0,none,37,18,Woman,Right,
17,1,1,0.4684688000006645,['n'],1,right,none,-99,-99,0.5,0,none,37,18,Woman,Right,
18,1,1,0.4173006000000896,['c'],1,left,none,-99,-99,0.5,0,none,37,18,Woman,Right,
19,1,1,0.5183371000002808,['c'],1,left,none,-99,-99,0.5,0,none,37,18,Woman,Right,
20,1,1,0.4839676999999938,['n'],1,right,none,-99,-99,0.5,0,none,37,18,Woman,Right,
21,1,1,0.4671591999995144,['c'],1,left,none,-99,-99,0.5,0,none,37,18,Woman,Right,
22,1,1,0.46605040000031295,['n'],1,right,none,-99,-99,0.5,0,none,37,18,Woman,Right,
23,1,1,0.4834666999995534,['c'],1,left,none,-99,-99,0.5,0,none,37,18,Woman,Right,
0,2,1,0.9671768000007432,['n'],1,right,none,-99,-99,0.1,0,none,37,18,Woman,Right,
1,2,1,0.5675683999998,['c'],0,right,none,-99,-99,0.1,0,none,37,18,Woman,Right,
2,2,1,0.5833830999999918,['c'],1,left,none,-99,-99,0.2,0,none,37,18,Woman,Right,
3,2,1,0.517207399999279,['c'],1,left,none,-99,-99,0.1,0,none,37,18,Woman,Right,
4,2,1,0.4843161999997392,['c'],1,left,none,-99,-99,0.2,0,none,37,18,Woman,Right,
5,2,1,0.45132139999986975,['c'],1,left,none,-99,-99,0.4,0,none,37,18,Woman,Right,
6,2,1,0.6501526000001832,['n'],1,right,none,-99,-99,0.1,0,none,37,18,Woman,Right,
