withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,1.1173162000000048,['c'],1,left,none,-99,-99,0.5,0,none,25,19,Man,Right,
1,1,1,0.8674884000001839,['n'],1,right,none,-99,-99,0.5,0,none,25,19,Man,Right,
2,1,1,1.4832186999997248,['c'],0,right,none,-99,-99,0.5,0,none,25,19,Man,Right,
3,1,1,1.2333380999998553,['c'],1,left,none,-99,-99,0.5,0,none,25,19,Man,Right,
4,1,1,1.2667010000000118,['c'],1,left,none,-99,-99,0.5,0,none,25,19,Man,Right,
5,1,1,0.7494999000000462,['n'],1,right,none,-99,-99,0.5,0,none,25,19,Man,Right,
6,1,1,0.8847020999996857,['n'],1,right,none,-99,-99,0.5,0,none,25,19,Man,Right,
7,1,1,0.5507093999999597,['c'],1,left,none,-99,-99,0.5,0,none,25,19,Man,Right,
8,1,1,0.5835490999998001,['c'],1,left,none,-99,-99,0.5,0,none,25,19,Man,Right,
9,1,1,0.6005037999998422,['n'],1,right,none,-99,-99,0.5,0,none,25,19,Man,Right,
10,1,1,0.6505047000000559,['c'],1,left,none,-99,-99,0.5,0,none,25,19,Man,Right,
11,1,1,0.6156049999999595,['c'],1,left,none,-99,-99,0.5,0,none,25,19,Man,Right,
12,1,1,0.7507333999997172,['c'],1,left,none,-99,-99,0.5,0,none,25,19,Man,Right,
13,1,1,0.6669789999996283,['c'],1,left,none,-99,-99,0.5,0,none,25,19,Man,Right,
14,1,1,0.5340460000002167,['n'],1,right,none,-99,-99,0.5,0,none,25,19,Man,Right,
15,1,1,0.4662999000001946,['c'],0,right,none,-99,-99,0.5,0,none,25,19,Man,Right,
16,1,1,0.6179756999999881,['c'],1,left,none,-99,-99,0.5,0,none,25,19,Man,Right,
17,1,1,0.5675583000002007,['n'],1,right,none,-99,-99,0.5,0,none,25,19,Man,Right,
18,1,1,0.8496094000001904,['n'],1,right,none,-99,-99,0.5,0,none,25,19,Man,Right,
19,1,1,1.51683950000006,['c'],0,right,none,-99,-99,0.5,0,none,25,19,Man,Right,
20,1,1,0.8660479999998643,['c'],1,left,none,-99,-99,0.5,0,none,25,19,Man,Right,
21,1,1,0.7179829000001519,['n'],1,right,none,-99,-99,0.5,0,none,25,19,Man,Right,
22,1,1,0.6504457999999431,['c'],1,left,none,-99,-99,0.5,0,none,25,19,Man,Right,
23,1,1,0.6336487000003217,['n'],1,right,none,-99,-99,0.5,0,none,25,19,Man,Right,
0,2,1,0.8012536999999611,['c'],1,left,none,-99,-99,0.1,0,none,25,19,Man,Right,
