withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,1.0862561000001278,['n'],1,right,none,-99,-99,0.5,0,none,6,18,Woman,Right,
1,1,1,0.885526900000059,['c'],1,left,none,-99,-99,0.5,0,none,6,18,Woman,Right,
2,1,1,0.7861382000000958,['c'],1,left,none,-99,-99,0.5,0,none,6,18,Woman,Right,
3,1,1,0.7524864000001799,['n'],1,right,none,-99,-99,0.5,0,none,6,18,Woman,Right,
4,1,1,0.769657000000052,['n'],1,right,none,-99,-99,0.5,0,none,6,18,Woman,Right,
5,1,1,0.6864120000000185,['c'],1,left,none,-99,-99,0.5,0,none,6,18,Woman,Right,
6,1,1,0.6529043999998976,['c'],1,left,none,-99,-99,0.5,0,none,6,18,Woman,Right,
7,1,1,1.2029024000000845,['c'],0,right,none,-99,-99,0.5,0,none,6,18,Woman,Right,
8,1,1,0.6864673999998558,['n'],1,right,none,-99,-99,0.5,0,none,6,18,Woman,Right,
9,1,1,0.7352220000000216,['c'],1,left,none,-99,-99,0.5,0,none,6,18,Woman,Right,
10,1,1,0.6192318999999316,['c'],1,left,none,-99,-99,0.5,0,none,6,18,Woman,Right,
11,1,1,0.7683243000001312,['c'],1,left,none,-99,-99,0.5,0,none,6,18,Woman,Right,
12,1,1,0.869161800000029,['c'],1,left,none,-99,-99,0.5,0,none,6,18,Woman,Right,
13,1,1,1.4362114000000474,['c'],0,right,none,-99,-99,0.5,0,none,6,18,Woman,Right,
14,1,1,1.9865308999999343,['c'],0,right,none,-99,-99,0.5,0,none,6,18,Woman,Right,
15,1,1,4.0530474999998205,['n'],1,right,none,-99,-99,0.5,0,none,6,18,Woman,Right,
16,1,1,1.9864293000000544,['n'],1,right,none,-99,-99,0.5,0,none,6,18,Woman,Right,
17,1,1,3.2363578999998026,['n'],1,right,none,-99,-99,0.5,0,none,6,18,Woman,Right,
18,1,1,1.3531541999998353,['n'],1,right,none,-99,-99,0.5,0,none,6,18,Woman,Right,
19,1,1,1.069234300000062,['c'],1,left,none,-99,-99,0.5,0,none,6,18,Woman,Right,
20,1,1,0.7695538999998917,['c'],1,left,none,-99,-99,0.5,0,none,6,18,Woman,Right,
21,1,1,2.3860526999999365,['n'],1,right,none,-99,-99,0.5,0,none,6,18,Woman,Right,
22,1,1,0.8025416000000405,['c'],1,left,none,-99,-99,0.5,0,none,6,18,Woman,Right,
23,1,1,0.9195636000001741,['c'],1,left,none,-99,-99,0.5,0,none,6,18,Woman,Right,
0,2,1,0.8200305000000299,['c'],1,left,none,-99,-99,0.4,0,none,6,18,Woman,Right,
1,2,1,0.9027639000000818,['c'],1,left,none,-99,-99,0.2,0,none,6,18,Woman,Right,
2,2,1,1.1692057000000204,['n'],1,right,none,-99,-99,0.1,0,none,6,18,Woman,Right,
3,2,1,0.8030176999998275,['n'],1,right,none,-99,-99,0.4,0,none,6,18,Woman,Right,
4,2,1,0.7354182999999921,['c'],1,left,none,-99,-99,0.4,0,none,6,18,Woman,Right,
5,2,1,0.9847174999999879,['n'],1,right,none,-99,-99,0.4,0,none,6,18,Woman,Right,
