withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,2.000067900000431,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
1,1,1,0.8502601000000141,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
2,1,1,0.5820702000000892,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
3,1,1,1.466043699999318,['n'],0,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
4,1,1,0.8166783000006035,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
5,1,1,0.6494701999999961,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
6,1,1,1.401006199999756,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
7,1,1,0.6337537999997949,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
8,1,1,0.5830017999996926,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
9,1,1,0.7497034000007261,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
10,1,1,0.7502426000000924,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
11,1,1,1.0171493000007104,['n'],0,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
12,1,1,0.9993708000001789,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
13,1,1,0.7653331000001344,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
14,1,1,0.6663679000002958,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
15,1,1,0.5334439000007478,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
16,1,1,0.5833674000004976,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
17,1,1,0.6170146000004024,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
18,1,1,0.8163631999996142,['c'],1,left,none,-99,-99,0.5,0,none,4,18,Woman,Right,
19,1,1,0.9168405000000348,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
20,1,1,0.7330001000000266,['n'],1,right,none,-99,-99,0.5,0,none,4,18,Woman,Right,
