withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,2.0671011000013095,['n'],1,right,none,-99,-99,0.5,0,none,14,18,Woman,Right,
1,1,1,0.8014034000007086,['c'],1,left,none,-99,-99,0.5,0,none,14,18,Woman,Right,
2,1,1,0.6328448000003846,['n'],1,right,none,-99,-99,0.5,0,none,14,18,Woman,Right,
3,1,1,0.9675759999990987,['c'],1,left,none,-99,-99,0.5,0,none,14,18,Woman,Right,
4,1,1,0.7500423999990744,['n'],1,right,none,-99,-99,0.5,0,none,14,18,Woman,Right,
5,1,1,0.867558600000848,['c'],1,left,none,-99,-99,0.5,0,none,14,18,Woman,Right,
6,1,1,0.9685793000007834,['c'],1,left,none,-99,-99,0.5,0,none,14,18,Woman,Right,
7,1,1,0.6846946000005119,['n'],1,right,none,-99,-99,0.5,0,none,14,18,Woman,Right,
8,1,1,1.1823067999994237,['n'],1,right,none,-99,-99,0.5,0,none,14,18,Woman,Right,
9,1,1,0.8179550999993808,['n'],1,right,none,-99,-99,0.5,0,none,14,18,Woman,Right,
10,1,1,0.5658155999990413,['c'],1,left,none,-99,-99,0.5,0,none,14,18,Woman,Right,
11,1,1,0.6013428000005661,['n'],1,right,none,-99,-99,0.5,0,none,14,18,Woman,Right,
12,1,1,0.5672465000006923,['c'],1,left,none,-99,-99,0.5,0,none,14,18,Woman,Right,
13,1,1,0.6833776000003127,['n'],0,left,none,-99,-99,0.5,0,none,14,18,Woman,Right,
14,1,1,0.801066300000457,['c'],1,left,none,-99,-99,0.5,0,none,14,18,Woman,Right,
15,1,1,0.83383909999975,['n'],1,right,none,-99,-99,0.5,0,none,14,18,Woman,Right,
16,1,1,0.767194500000187,['n'],0,left,none,-99,-99,0.5,0,none,14,18,Woman,Right,
17,1,1,0.6819157999998424,['c'],1,left,none,-99,-99,0.5,0,none,14,18,Woman,Right,
18,1,1,0.6332882000006066,['n'],1,right,none,-99,-99,0.5,0,none,14,18,Woman,Right,
19,1,1,0.650269699999626,['c'],1,left,none,-99,-99,0.5,0,none,14,18,Woman,Right,
20,1,1,0.6325666000011552,['n'],1,right,none,-99,-99,0.5,0,none,14,18,Woman,Right,
21,1,1,0.8166266999996878,['c'],1,left,none,-99,-99,0.5,0,none,14,18,Woman,Right,
22,1,1,0.5343107999997301,['n'],1,right,none,-99,-99,0.5,0,none,14,18,Woman,Right,
23,1,1,0.6326268999982858,['n'],1,right,none,-99,-99,0.5,0,none,14,18,Woman,Right,
0,2,1,1.1013384999987466,['n'],1,right,none,-99,-99,0.2,0,none,14,18,Woman,Right,
1,2,1,0.817260300000271,['n'],1,right,none,-99,-99,0.1,0,none,14,18,Woman,Right,
2,2,1,1.0512121000010666,['n'],0,left,none,-99,-99,0.4,0,none,14,18,Woman,Right,
3,2,1,0.7000454000008176,['n'],1,right,none,-99,-99,0.4,0,none,14,18,Woman,Right,
4,2,1,1.133665800000017,['c'],0,right,none,-99,-99,0.1,0,none,14,18,Woman,Right,
5,2,1,0.7508926000009524,['n'],1,right,none,-99,-99,0.4,0,none,14,18,Woman,Right,
6,2,1,2.200462199998583,['n'],1,right,none,-99,-99,0.1,0,none,14,18,Woman,Right,
7,2,1,0.7005205000004935,['n'],1,right,none,-99,-99,0.4,0,none,14,18,Woman,Right,
8,2,1,2.317646200001036,['n'],1,right,none,-99,-99,0.1,0,none,14,18,Woman,Right,
