withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,1.650431000000026,['n'],1,right,none,-99,-99,0.5,0,none,20,18,Woman,Right,
1,1,1,1.0506667999998172,['c'],1,left,none,-99,-99,0.5,0,none,20,18,Woman,Right,
2,1,1,0.9840572000011889,['c'],1,left,none,-99,-99,0.5,0,none,20,18,Woman,Right,
3,1,1,0.8165551000001869,['n'],1,right,none,-99,-99,0.5,0,none,20,18,Woman,Right,
4,1,1,0.9506634999997914,['c'],1,left,none,-99,-99,0.5,0,none,20,18,Woman,Right,
5,1,1,1.3330110999995668,['n'],1,right,none,-99,-99,0.5,0,none,20,18,Woman,Right,
6,1,1,0.8336039000005258,['n'],1,right,none,-99,-99,0.5,0,none,20,18,Woman,Right,
7,1,1,0.9500076000003901,['n'],1,right,none,-99,-99,0.5,0,none,20,18,Woman,Right,
8,1,1,1.8169170999990456,['c'],1,left,none,-99,-99,0.5,0,none,20,18,Woman,Right,
9,1,1,1.916807699999481,['c'],1,left,none,-99,-99,0.5,0,none,20,18,Woman,Right,
10,1,1,0.8171459999994113,['n'],1,right,none,-99,-99,0.5,0,none,20,18,Woman,Right,
11,1,1,1.3841616000008798,['c'],1,left,none,-99,-99,0.5,0,none,20,18,Woman,Right,
12,1,1,0.7998695000005682,['n'],1,right,none,-99,-99,0.5,0,none,20,18,Woman,Right,
13,1,1,1.366930299998785,['c'],1,left,none,-99,-99,0.5,0,none,20,18,Woman,Right,
14,1,1,0.6671021000001929,['n'],0,left,none,-99,-99,0.5,0,none,20,18,Woman,Right,
15,1,1,2.2841393999988213,['n'],1,right,none,-99,-99,0.5,0,none,20,18,Woman,Right,
16,1,1,1.3336300999999366,['c'],1,left,none,-99,-99,0.5,0,none,20,18,Woman,Right,
17,1,1,1.382500899999286,['n'],1,right,none,-99,-99,0.5,0,none,20,18,Woman,Right,
18,1,1,1.7487348000013299,['c'],1,left,none,-99,-99,0.5,0,none,20,18,Woman,Right,
19,1,1,1.5838180999999167,['c'],0,right,none,-99,-99,0.5,0,none,20,18,Woman,Right,
20,1,1,1.4172559999988152,['c'],1,left,none,-99,-99,0.5,0,none,20,18,Woman,Right,
21,1,1,1.499221000000034,['n'],1,right,none,-99,-99,0.5,0,none,20,18,Woman,Right,
22,1,1,1.050013799998851,['n'],1,right,none,-99,-99,0.5,0,none,20,18,Woman,Right,
23,1,1,0.8990594999995665,['c'],1,left,none,-99,-99,0.5,0,none,20,18,Woman,Right,
0,2,1,0.9513286999990669,['c'],0,right,none,-99,-99,0.4,0,none,20,18,Woman,Right,
1,2,1,1.3840290999996796,['n'],1,right,none,-99,-99,0.4,0,none,20,18,Woman,Right,
2,2,1,1.8659518999993452,['c'],0,right,none,-99,-99,0.1,0,none,20,18,Woman,Right,
3,2,1,1.499352300001192,['c'],1,left,none,-99,-99,0.4,0,none,20,18,Woman,Right,
4,2,1,1.250613500000327,['c'],0,right,none,-99,-99,0.1,0,none,20,18,Woman,Right,
5,2,1,2.1334047000000282,['n'],0,left,none,-99,-99,0.2,0,none,20,18,Woman,Right,
6,2,1,2.416523199999574,['n'],1,right,none,-99,-99,0.2,0,none,20,18,Woman,Right,
7,2,1,0.9493012000002636,['c'],1,left,none,-99,-99,0.2,0,none,20,18,Woman,Right,
8,2,1,0.9834390999985771,['c'],0,right,none,-99,-99,0.2,0,none,20,18,Woman,Right,
9,2,1,2.2841291000004276,['c'],0,right,none,-99,-99,0.4,0,none,20,18,Woman,Right,
10,2,1,2.7674264999986917,['n'],1,right,none,-99,-99,0.1,0,none,20,18,Woman,Right,
11,2,1,0.8838849999992817,['n'],0,left,none,-99,-99,0.1,0,none,20,18,Woman,Right,
12,2,1,3.0333372999994026,['c'],0,right,none,-99,-99,0.2,0,none,20,18,Woman,Right,
13,2,1,1.9502025000001595,['c'],1,left,none,-99,-99,0.2,0,none,20,18,Woman,Right,
14,2,1,1.7673919999997452,['n'],1,right,none,-99,-99,0.1,0,none,20,18,Woman,Right,
15,2,1,0.9998806999992667,['c'],1,left,none,-99,-99,0.4,0,none,20,18,Woman,Right,
16,2,1,1.8670474999998987,['c'],1,left,none,-99,-99,0.1,0,none,20,18,Woman,Right,
17,2,1,1.3673675999998522,['n'],1,right,none,-99,-99,0.1,0,none,20,18,Woman,Right,
