withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,4.466176400001132,['c'],0,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
1,1,1,0.900631099999373,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
2,1,1,0.9332047000007151,['n'],1,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
3,1,1,0.5845762999997532,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
4,1,1,0.6002121999990777,['c'],0,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
5,1,1,0.8835402999993676,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
6,1,1,0.31792419999874255,['n'],1,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
7,1,1,0.5012624999999389,['n'],0,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
8,1,1,0.5666294000002381,['n'],0,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
9,1,1,0.4665007000003243,['n'],1,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
10,1,1,0.5674913999991986,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
11,1,1,2.4004893000001175,['c'],0,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
12,1,1,0.5831400000006397,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
13,1,1,0.6681480999995983,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
14,1,1,0.4680814000003011,['n'],0,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
15,1,1,0.4338345999985904,['n'],1,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
16,1,1,0.5016771000009612,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
17,1,1,0.7179804999996122,['c'],0,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
18,1,1,0.5001830999990489,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
19,1,1,0.6674387000002753,['c'],0,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
20,1,1,0.5500187999987247,['n'],1,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
21,1,1,0.28446919999987585,['n'],0,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
22,1,1,0.5669266999993852,['n'],1,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
23,1,1,0.5013952999997855,['c'],0,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
0,1,2,0.6510760000001028,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
1,1,2,0.29981670000051963,['n'],0,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
2,1,2,0.3500513000017236,['n'],0,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
3,1,2,0.26779940000051283,['n'],1,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
4,1,2,0.36587779999899794,['c'],0,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
5,1,2,0.2679454999997688,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
6,1,2,0.4178313000011258,['c'],0,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
7,1,2,0.534340099999099,['n'],0,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
8,1,2,0.6339680000000953,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
9,1,2,0.517117600000347,['n'],0,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
10,1,2,1.1173758000004455,['c'],0,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
11,1,2,0.782360700000936,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
12,1,2,0.46774229999937234,['n'],1,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
13,1,2,0.5840150000003632,['c'],1,left,none,-99,-99,0.5,0,none,39,18,Woman,Right,
14,1,2,0.49985190000006696,['c'],0,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
15,1,2,3.25103880000097,['c'],0,right,none,-99,-99,0.5,0,none,39,18,Woman,Right,
