withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,2.367057299999942,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
1,1,1,1.9840599999999995,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
2,1,1,0.7837917999997899,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
3,1,1,0.8336271000000579,['n'],0,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
4,1,1,1.3014376999999513,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
5,1,1,1.1681441000000632,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
6,1,1,3.101121599999942,['n'],0,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
7,1,1,1.1332512999999835,['c'],0,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
8,1,1,0.9674976999999672,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
9,1,1,0.8010983000001488,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
10,1,1,0.7842216999999891,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
11,1,1,1.0522467999999208,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
12,1,1,0.6668455999999878,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
13,1,1,0.9678839999999127,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
14,1,1,1.201735299999882,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
15,1,1,2.3502432000000226,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
16,1,1,0.9511402000000544,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
17,1,1,1.0341117999998914,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
18,1,1,0.9342693000000963,['c'],0,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
19,1,1,0.7010224000000562,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
20,1,1,0.6670034999999643,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
21,1,1,0.7338073000000804,['n'],0,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
22,1,1,0.7674285999999029,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
23,1,1,0.5664217999999437,['c'],0,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
0,1,2,1.317137300000013,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
1,1,2,0.68460970000001,['c'],0,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
2,1,2,0.8166231000000153,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
3,1,2,1.883473800000047,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
4,1,2,0.8669195999998465,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
5,1,2,2.5681227000000035,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
6,1,2,0.9334903000001304,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
7,1,2,1.3005820999999287,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
8,1,2,0.9669478999999228,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
9,1,2,0.9016368999998576,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
10,1,2,0.833972299999914,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
11,1,2,0.6353831999999784,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
12,1,2,0.9679329999999027,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
13,1,2,0.7842148000001998,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
14,1,2,1.449707799999942,['c'],0,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
15,1,2,0.8528263999999126,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
16,1,2,0.750048900000138,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
17,1,2,0.7507012999999461,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
18,1,2,0.6842255000001387,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
19,1,2,1.799618799999962,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
20,1,2,1.7013927999998941,['n'],1,right,none,-99,-99,0.5,0,none,24,18,Woman,Right,
21,1,2,1.167584700000134,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
22,1,2,0.7513129999999819,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
23,1,2,0.9996550000000752,['c'],1,left,none,-99,-99,0.5,0,none,24,18,Woman,Right,
0,2,1,0.9172946999999567,['n'],0,left,none,-99,-99,0.4,0,none,24,18,Woman,Right,
1,2,1,1.5525809999999183,['n'],1,right,none,-99,-99,0.1,0,none,24,18,Woman,Right,
2,2,1,1.2344388000001345,['n'],1,right,none,-99,-99,0.1,0,none,24,18,Woman,Right,
3,2,1,0.9012393999998949,['c'],1,left,none,-99,-99,0.2,0,none,24,18,Woman,Right,
4,2,1,0.6845327999999427,['c'],1,left,none,-99,-99,0.2,0,none,24,18,Woman,Right,
5,2,1,1.1010936000000129,['c'],0,right,none,-99,-99,0.4,0,none,24,18,Woman,Right,
6,2,1,0.8837166000000707,['c'],0,right,none,-99,-99,0.1,0,none,24,18,Woman,Right,
7,2,1,1.2999532000001182,['n'],1,right,none,-99,-99,0.2,0,none,24,18,Woman,Right,
8,2,1,1.067647599999873,['n'],1,right,none,-99,-99,0.2,0,none,24,18,Woman,Right,
9,2,1,1.1173231000000214,['n'],1,right,none,-99,-99,0.4,0,none,24,18,Woman,Right,
10,2,1,1.1341112000000066,['n'],1,right,none,-99,-99,0.4,0,none,24,18,Woman,Right,
11,2,1,1.05086150000011,['n'],1,right,none,-99,-99,0.1,0,none,24,18,Woman,Right,
12,2,1,0.6001412999999047,['c'],1,left,none,-99,-99,0.1,0,none,24,18,Woman,Right,
13,2,1,0.71698379999998,['c'],1,left,none,-99,-99,0.2,0,none,24,18,Woman,Right,
14,2,1,1.2505595999998604,['c'],1,left,none,-99,-99,0.2,0,none,24,18,Woman,Right,
15,2,1,0.4337628000000677,['n'],0,left,none,-99,-99,0.4,0,none,24,18,Woman,Right,
16,2,1,1.4006454000000303,['n'],1,right,none,-99,-99,0.2,0,none,24,18,Woman,Right,
17,2,1,1.0682894999999917,['n'],1,right,none,-99,-99,0.1,0,none,24,18,Woman,Right,
18,2,1,0.9503509000001031,['n'],0,left,none,-99,-99,0.4,0,none,24,18,Woman,Right,
19,2,1,0.9672680000001037,['c'],1,left,none,-99,-99,0.2,0,none,24,18,Woman,Right,
20,2,1,1.1670955000001868,['n'],0,left,none,-99,-99,0.1,0,none,24,18,Woman,Right,
21,2,1,0.7012230000000272,['n'],0,left,none,-99,-99,0.1,0,none,24,18,Woman,Right,
22,2,1,0.8666264000000865,['n'],0,left,none,-99,-99,0.4,0,none,24,18,Woman,Right,
23,2,1,0.9344885000000431,['c'],0,right,none,-99,-99,0.4,0,none,24,18,Woman,Right,
0,3,1,2.8498677000000043,['n'],1,right,['9'],2,1.9354307000000972,0.2,0,none,24,18,Woman,Right,
1,3,1,1.1172424000001229,['n'],1,right,['3'],4,0.9834084999999959,0.1,0,none,24,18,Woman,Right,
2,3,1,2.8007447999998476,['n'],1,right,['8'],3,3.5662580999999136,0.1,0,none,24,18,Woman,Right,
3,3,1,0.9345868000000337,['n'],1,right,['8'],3,1.3346397000000252,0.4,0,none,24,18,Woman,Right,
4,3,1,1.134360999999899,['n'],1,right,['2'],5,1.1178823000000193,0.4,0,none,24,18,Woman,Right,
5,3,1,1.7501887000000806,['n'],1,right,['8'],3,1.9514529999999013,0.2,0,none,24,18,Woman,Right,
6,3,1,1.317138200000045,['c'],1,left,['2'],5,0.7347291000000951,0.2,0,none,24,18,Woman,Right,
7,3,1,2.7009300000001986,['n'],0,left,['8'],3,1.9348100999998223,0.2,0,none,24,18,Woman,Right,
8,3,1,2.0501950999998826,['n'],0,left,['3'],4,1.0009155999998711,0.2,0,none,24,18,Woman,Right,
9,3,1,5.016134100000045,x,-99,right,none,-99,-99,0.2,1,none,24,18,Woman,Right,
10,3,1,0.6183496000001014,['n'],1,right,['8'],3,1.1014688000000206,0.4,0,none,24,18,Woman,Right,
11,3,1,0.9178718000000572,['c'],1,left,['2'],5,0.7169739000000845,0.1,0,none,24,18,Woman,Right,
12,3,1,1.8164816000000883,['n'],0,left,['8'],3,0.9841191000000435,0.1,0,none,24,18,Woman,Right,
13,3,1,2.267867199999955,['n'],0,left,['8'],3,0.6841633999999885,0.2,0,none,24,18,Woman,Right,
14,3,1,4.483634699999811,['n'],1,right,['8'],3,1.0345391000000745,0.1,0,none,24,18,Woman,Right,
15,3,1,1.200583300000062,['c'],1,left,['2'],5,0.58471899999995,0.4,0,none,24,18,Woman,Right,
16,3,1,1.7325452000000041,['n'],1,right,['8'],3,0.7009303999998338,0.4,0,none,24,18,Woman,Right,
17,3,1,1.1337166000000707,['n'],1,right,['3'],4,0.6347213999999894,0.2,0,none,24,18,Woman,Right,
18,3,1,0.6839906000000155,['n'],1,right,['3'],4,0.7340616999999838,0.4,0,none,24,18,Woman,Right,
19,3,1,1.584012600000051,['n'],0,left,['3'],4,0.9512977000001683,0.4,0,none,24,18,Woman,Right,
20,3,1,2.083121099999971,['n'],0,left,['8'],3,0.8684709999999995,0.1,0,none,24,18,Woman,Right,
