withinblocktrial,block,block_repetition,rt,resp,cor,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub,age,gender,handedness,
0,1,1,2.300299599999903,['c'],1,left,none,-99,-99,0.5,0,none,1,18,Woman,Right,
1,1,1,1.7658176999999569,['c'],1,left,none,-99,-99,0.5,0,none,1,18,Woman,Right,
2,1,1,0.9660066000000143,['n'],1,right,none,-99,-99,0.5,0,none,1,18,Woman,Right,
3,1,1,0.7498530999999957,['n'],1,right,none,-99,-99,0.5,0,none,1,18,Woman,Right,
4,1,1,1.465829699999972,['n'],1,right,none,-99,-99,0.5,0,none,1,18,Woman,Right,
5,1,1,0.6999498000000131,['c'],1,left,none,-99,-99,0.5,0,none,1,18,Woman,Right,
6,1,1,0.7833521000000019,['c'],1,left,none,-99,-99,0.5,0,none,1,18,Woman,Right,
7,1,1,0.8001838999999791,['n'],1,right,none,-99,-99,0.5,0,none,1,18,Woman,Right,
8,1,1,0.5504885000000286,['c'],1,left,none,-99,-99,0.5,0,none,1,18,Woman,Right,
9,1,1,0.8330404000000726,['n'],1,right,none,-99,-99,0.5,0,none,1,18,Woman,Right,
10,1,1,0.6000674999999092,['c'],1,left,none,-99,-99,0.5,0,none,1,18,Woman,Right,
11,1,1,0.45003829999996015,['n'],1,right,none,-99,-99,0.5,0,none,1,18,Woman,Right,
12,1,1,0.4998976000000539,['c'],1,left,none,-99,-99,0.5,0,none,1,18,Woman,Right,
13,1,1,0.599553300000025,['c'],1,left,none,-99,-99,0.5,0,none,1,18,Woman,Right,
14,1,1,0.6168363999998974,['n'],1,right,none,-99,-99,0.5,0,none,1,18,Woman,Right,
15,1,1,0.46551130000000285,['c'],1,left,none,-99,-99,0.5,0,none,1,18,Woman,Right,
16,1,1,0.4665185000000065,['n'],1,right,none,-99,-99,0.5,0,none,1,18,Woman,Right,
17,1,1,0.5332924000000503,['n'],1,right,none,-99,-99,0.5,0,none,1,18,Woman,Right,
18,1,1,0.5006693000000269,['c'],1,left,none,-99,-99,0.5,0,none,1,18,Woman,Right,
19,1,1,0.4333328000000165,['n'],1,right,none,-99,-99,0.5,0,none,1,18,Woman,Right,
20,1,1,0.5504420999999411,['n'],1,right,none,-99,-99,0.5,0,none,1,18,Woman,Right,
21,1,1,0.5664686000000074,['n'],1,right,none,-99,-99,0.5,0,none,1,18,Woman,Right,
22,1,1,0.49996630000009645,['c'],1,left,none,-99,-99,0.5,0,none,1,18,Woman,Right,
23,1,1,0.7490652999999838,['c'],1,left,none,-99,-99,0.5,0,none,1,18,Woman,Right,
0,2,1,0.7006235000000061,['n'],1,right,none,-99,-99,0.4,0,none,1,18,Woman,Right,
